extra_channel,epochs,fc2,epoch_reducers,fold,arch_hash,net_hash,ae_hash,batch_size,window,l1,l2,dropout,batch_normalization,lr,variational_mode,dec_blocks,dec_activation,eta,block_size,nblocks,msblocks,conv_activation,kernel_size,filters,dilation_rate,dense_activation,fc1,f1,f2,f3,pretrain,freeze,ae_loss,ae_rec_loss,ae_kl_loss,net_score,net_mae,net_mse,net_NASA_score,status,ae_time,net_time,kernels,attention,bidirectional,cell_type,lstm_units,net_name,experiment,input_shape,num_embeddings,channels
True,100,184.0,,0,ba72d89cb0f053888d1aed1ebf5ae5a7b04524d7,940e0494d9df7009b28f0c8b5a5fdb0570630145,,51.0,100.0,0.000363486345182,0.000768549994805,0.855959750554072,True,0.000157745193076,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,8.0,LeakyReLU,168.0,5.0,10.0,15.0,True,False,,,,0.1488073766231537,0.2375540137290954,0.3143820762634277,0.0207699127495288,FINISHED,,1120.922619342804,,,,,,cnn,rnn_cnn_rna,,,1.7041056477546055
True,100,184.0,,0,e17242493a9bd3522fdf5600938bc66de0047418,e594ddc509cc194e0aa9fa151fd4ba6217e6a917,,50.0,100.0,0.00099648605689,0.000341602102669,0.198369734297364,True,0.000404890681135,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.1220233291387558,0.1782446056604385,0.3667027950286865,0.0152865713462233,FINISHED,,505.51586270332336,,,,,,cnn,rnn_cnn_rna,,,3.394987432443277
True,100,184.0,,1,e17242493a9bd3522fdf5600938bc66de0047418,3157511ac12b2e9d5201d3e94f3b2e8af105d30e,,50.0,100.0,0.00099648605689,0.000341602102669,0.198369734297364,True,0.000404890681135,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.0892311930656433,0.1310079246759414,0.0778176039457321,0.0118277166038751,FINISHED,,892.5961186885834,,,,,,cnn,rnn_cnn_rna,,,3.394987432443277
True,100,184.0,,1,ba72d89cb0f053888d1aed1ebf5ae5a7b04524d7,6d0260dc2bd09f57975255c07c9356353eaeca35,,51.0,100.0,0.000363486345182,0.000768549994805,0.855959750554072,True,0.000157745193076,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,8.0,LeakyReLU,168.0,5.0,10.0,15.0,True,False,,,,0.129592090845108,0.2070863246917724,0.1125311106443405,0.019663305953145,FINISHED,,1985.1554958820343,,,,,,cnn,rnn_cnn_rna,,,1.7041056477546055
True,100,184.0,,2,e17242493a9bd3522fdf5600938bc66de0047418,105c9aad84ce80b2cfe9c66c65798b6f64031661,,50.0,100.0,0.00099648605689,0.000341602102669,0.198369734297364,True,0.000404890681135,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.100506842136383,0.1480299234390258,0.0509795136749744,0.0127372238785028,FINISHED,,1670.586828708649,,,,,,cnn,rnn_cnn_rna,,,3.394987432443277
True,100,184.0,,3,e17242493a9bd3522fdf5600938bc66de0047418,463c2b1c4423c7427a13bc25b216a459d4df28d4,,50.0,100.0,0.00099648605689,0.000341602102669,0.198369734297364,True,0.000404890681135,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.1304871737957,0.187599316239357,0.3638346493244171,0.0159084182232618,FINISHED,,559.4914581775665,,,,,,cnn,rnn_cnn_rna,,,3.394987432443277
True,100,184.0,,4,e17242493a9bd3522fdf5600938bc66de0047418,ab5fef43285ddd0211a13a896ee5d238eba7d79d,,50.0,100.0,0.00099648605689,0.000341602102669,0.198369734297364,True,0.000404890681135,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.0982115566730499,0.1513504236936569,0.3608708381652832,0.0144067425280809,FINISHED,,558.9076504707336,,,,,,cnn,rnn_cnn_rna,,,3.394987432443277
True,100,252.0,,0,9a74cbb8f1bee086a2d1e4984ffb69daeea5d491,e1689994efc3aa61b498f56fea20c0956ac9bee9,,38.0,100.0,0.000365914063208,0.000645656990546,0.461872085205003,True,0.000547169166905,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,tanh,145.0,5.0,10.0,15.0,True,False,,,,0.1177961751818656,0.1778541952371597,0.0675816684961319,0.0154678719118237,FINISHED,,696.9778738021851,,,,,,cnn,rnn_cnn_rna,,,2.797578633898225
True,100,184.0,,2,ba72d89cb0f053888d1aed1ebf5ae5a7b04524d7,b412e1a3abaae10518ef306fb6fdb81044253e3d,,51.0,100.0,0.000363486345182,0.000768549994805,0.855959750554072,True,0.000157745193076,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,8.0,LeakyReLU,168.0,5.0,10.0,15.0,True,False,,,,0.1044321656227111,0.1543466597795486,0.0613975152373313,0.0131449559703469,FINISHED,,3449.252468109131,,,,,,cnn,rnn_cnn_rna,,,1.7041056477546055
True,100,252.0,,1,9a74cbb8f1bee086a2d1e4984ffb69daeea5d491,7c0aee08d25bcbf34d14091c28f21cb6efb60927,,38.0,100.0,0.000365914063208,0.000645656990546,0.461872085205003,True,0.000547169166905,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,tanh,145.0,5.0,10.0,15.0,True,False,,,,0.3366382122039795,0.5585510730743408,0.3796014785766601,0.0577972792088985,FINISHED,,652.1120910644531,,,,,,cnn,rnn_cnn_rna,,,2.797578633898225
True,100,246.0,,0,d68de7713c6bbd97c9b09e554b38857a31c4a4c6,5813cd0a128ff52a4292573c1a023db0fec94c72,,35.0,100.0,0.000993223798759,1.834213572e-05,0.387995097243873,False,0.000641597399157,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,146.0,5.0,10.0,15.0,True,False,,,,0.3223739266395569,0.5243560671806335,0.3955782651901245,0.0542233288288116,FINISHED,,475.7587406635285,,,,,,cnn,rnn_cnn_rna,,,2.1701571426212105
True,100,184.0,,3,ba72d89cb0f053888d1aed1ebf5ae5a7b04524d7,a5245f3cf37ba8f7a8e90e51f28ca8f1d566d763,,51.0,100.0,0.000363486345182,0.000768549994805,0.855959750554072,True,0.000157745193076,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,8.0,LeakyReLU,168.0,5.0,10.0,15.0,True,False,,,,0.3342055976390838,0.5520689487457275,10.065829277038574,0.0571226216852664,FINISHED,,863.3274102210999,,,,,,cnn,rnn_cnn_rna,,,1.7041056477546055
True,100,187.0,,0,8ef1c8719096f0892e1eda7623ac6f7185f95fca,4ec39ca1614e1b505fe14f08f4a71a4ffeb0c8c6,,57.0,100.0,0.001,0.001,0.9,False,1e-05,True,4.0,relu,0.5,2.0,3.0,4.0,tanh,"(3, 3)",32.0,1.0,tanh,169.0,5.0,10.0,15.0,True,False,,,,0.3239578902721405,0.5273540019989014,18.869335174560547,0.0545405261218547,FINISHED,,579.1152801513672,,,,,,cnn,rnn_cnn_rna,,,1.51
True,100,182.0,,0,4cd4fcfa9598877c2afeae8b1765780be7df6eb9,65ca33b04e5b7ed51821483325cfcbd3eb6157e4,,53.0,100.0,0.000809653161556,0.000625474650743,0.191240541638742,True,0.00031416717417,True,4.0,relu,0.5,3.0,2.0,4.0,LeakyReLU,"(3, 3)",32.0,2.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.121439442038536,0.1801698803901672,0.2559413611888885,0.0154278725385665,FINISHED,,599.7944548130035,,,,,,cnn,rnn_cnn_rna,,,3.49
