extra_channel,epochs,fc2,epoch_reducers,fold,arch_hash,net_hash,ae_hash,batch_size,window,l1,l2,dropout,batch_normalization,lr,variational_mode,dec_blocks,dec_activation,eta,block_size,nblocks,msblocks,conv_activation,kernel_size,filters,dilation_rate,dense_activation,fc1,f1,f2,f3,pretrain,freeze,ae_loss,ae_rec_loss,ae_kl_loss,net_score,net_mae,net_mse,net_NASA_score,status,ae_time,net_time,kernels,attention,bidirectional,cell_type,lstm_units,net_name,experiment,input_shape,num_embeddings
False,100,92.0,,3,c35819e4ff52dcf8008bf46130c1854b5f581563,4a5ee84ac2351646d111ee6069759dabc90fa284,,52.0,391.0,0.000489452760278,0.000985650454111,0.817439297369988,False,0.000249634718796,True,4.0,relu,0.5,4.0,4.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.1160680949687957,0.1772898882627487,0.1072503104805946,0.0152307394891977,FINISHED,,3757.557237625122,,0.0596809887549352,0.4953580464577229,-0.4070424975000213,91.2791813094584,rnn,rnn_rnn_rna,,147.52750879847994
False,100,92.0,,4,c35819e4ff52dcf8008bf46130c1854b5f581563,60746aa134451329c1fc5789dc49d0c22a7b7e98,,52.0,391.0,0.000489452760278,0.000985650454111,0.817439297369988,False,0.000249634718796,True,4.0,relu,0.5,4.0,4.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.1023919284343719,0.1574829369783401,0.0533583983778953,0.0145783172920346,FINISHED,,4561.711524248123,,0.0596809887549352,0.4953580464577229,-0.4070424975000213,91.2791813094584,rnn,rnn_rnn_rna,,147.52750879847994
False,100,114.0,,1,6ba99d272f15da068abe2429d51b5f4eac34edf4,3afc62b80e8b041f2e946ecb81c9856dd5ad2012,,62.0,459.0,0.000659984046034,0.000817222200201,0.832224256450707,False,0.000559648803483,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,232.0,5.0,10.0,15.0,True,False,,,,0.1014661639928817,0.1526002436876297,0.0467462167143821,0.0139129161834716,FINISHED,,5967.765248537064,,0.8718754762049319,-0.2349581117080135,0.172132702100517,75.32086477587274,rnn,rnn_rnn_rna,,118.62055356117985
False,100,187.0,,0,f6754f479fd9939af8fca7c4f8645a041bb96225,a63ebdc605fcb43e8131fb3bc54178880d9f41f7,,43.0,365.0,8.4139964995e-05,0.000161628714095,0.798377781838606,True,0.000899568646642,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,214.0,5.0,10.0,15.0,True,False,,,,0.1120819225907325,0.160998061299324,0.0492391176521778,0.0137323085218667,FINISHED,,4620.791252851486,,1.290836114326661,0.1884191492253217,0.9419113577404788,83.92005468187408,rnn,rnn_rnn_rna,,120.29430857320642
False,100,114.0,,2,6ba99d272f15da068abe2429d51b5f4eac34edf4,005516750af4d8a6393f11c815975b607e123fc4,,62.0,459.0,0.000659984046034,0.000817222200201,0.832224256450707,False,0.000559648803483,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,232.0,5.0,10.0,15.0,True,False,,,,0.1044531762599945,0.1569249927997589,0.0478613749146461,0.0135958213359117,FINISHED,,4310.492777824402,,0.8718754762049319,-0.2349581117080135,0.172132702100517,75.32086477587274,rnn,rnn_rnn_rna,,118.62055356117985
False,100,114.0,,3,6ba99d272f15da068abe2429d51b5f4eac34edf4,c722514ca149b667778a3990414ff299fadb5847,,62.0,459.0,0.000659984046034,0.000817222200201,0.832224256450707,False,0.000559648803483,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,232.0,5.0,10.0,15.0,True,False,,,,0.1177529841661453,0.1748741269111633,0.063928984105587,0.0150020830333232,FINISHED,,1513.4770464897156,,0.8718754762049319,-0.2349581117080135,0.172132702100517,75.32086477587274,rnn,rnn_rnn_rna,,118.62055356117985
False,100,187.0,,1,f6754f479fd9939af8fca7c4f8645a041bb96225,71b48d6be112f69a06ae12da47b48931890d7cb3,,43.0,365.0,8.4139964995e-05,0.000161628714095,0.798377781838606,True,0.000899568646642,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,214.0,5.0,10.0,15.0,True,False,,,,0.0944242775440216,0.1393185704946518,0.0378901623189449,0.0126468790695071,FINISHED,,3276.9785039424896,,1.290836114326661,0.1884191492253217,0.9419113577404788,83.92005468187408,rnn,rnn_rnn_rna,,120.29430857320642
False,100,114.0,,4,6ba99d272f15da068abe2429d51b5f4eac34edf4,405a49c5f075f44fe34cccb30ae10ca347913e17,,62.0,459.0,0.000659984046034,0.000817222200201,0.832224256450707,False,0.000559648803483,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,232.0,5.0,10.0,15.0,True,False,,,,0.1406607925891876,0.2222021669149398,0.0703373476862907,0.0200841836631298,FINISHED,,1677.2275347709656,,0.8718754762049319,-0.2349581117080135,0.172132702100517,75.32086477587274,rnn,rnn_rnn_rna,,118.62055356117985
False,100,187.0,,2,f6754f479fd9939af8fca7c4f8645a041bb96225,c27aedff4ba0fb82095987519474cc2aa01b481a,,43.0,365.0,8.4139964995e-05,0.000161628714095,0.798377781838606,True,0.000899568646642,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,214.0,5.0,10.0,15.0,True,False,,,,0.1021312996745109,0.143055647611618,0.0450159683823585,0.0123714208602905,FINISHED,,3279.918347597122,,1.290836114326661,0.1884191492253217,0.9419113577404788,83.92005468187408,rnn,rnn_rnn_rna,,120.29430857320642
False,100,126.0,,0,68da94917b68d6ed0e51fd768d729fdc6c51191f,06a3dd9eaeeaa34ab718716e1837535547cb4ba4,,50.0,247.0,0.000746491405118,0.000649632899047,0.640961299212782,False,0.000850731176389,True,4.0,relu,0.5,4.0,3.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.1495195776224136,0.2381485998630523,0.0911079943180084,0.020755261182785,FINISHED,,6713.116941452026,,-0.4998768323075626,0.8737903953853865,0.793922519005201,89.65264393763846,rnn,rnn_rnn_rna,,118.7349535656185
False,100,187.0,,3,f6754f479fd9939af8fca7c4f8645a041bb96225,f48f5a6241b591cda409ee14adf1f1d4c5edc5dd,,43.0,365.0,8.4139964995e-05,0.000161628714095,0.798377781838606,True,0.000899568646642,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,214.0,5.0,10.0,15.0,True,False,,,,0.1154096871614456,0.1678198873996734,0.0524013973772525,0.0139093026518821,FINISHED,,4981.2481479644775,,1.290836114326661,0.1884191492253217,0.9419113577404788,83.92005468187408,rnn,rnn_rnn_rna,,120.29430857320642
False,100,187.0,,4,f6754f479fd9939af8fca7c4f8645a041bb96225,4663ef6d2e673ad9dc9e052e946fa7cd63f7fc36,,43.0,365.0,8.4139964995e-05,0.000161628714095,0.798377781838606,True,0.000899568646642,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,214.0,5.0,10.0,15.0,True,False,,,,0.0998175516724586,0.1472728997468948,0.0470627583563327,0.0140653708949685,FINISHED,,2849.122065782547,,1.290836114326661,0.1884191492253217,0.9419113577404788,83.92005468187408,rnn,rnn_rnn_rna,,120.29430857320642
False,100,126.0,,1,68da94917b68d6ed0e51fd768d729fdc6c51191f,574dc270779c7e90f4a08fba47feda62d95b0ab6,,50.0,247.0,0.000746491405118,0.000649632899047,0.640961299212782,False,0.000850731176389,True,4.0,relu,0.5,4.0,3.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.0987331047654151,0.1415012031793594,0.0625776425004005,0.0126447333022952,FINISHED,,6159.836765766144,,-0.4998768323075626,0.8737903953853865,0.793922519005201,89.65264393763846,rnn,rnn_rnn_rna,,118.7349535656185
False,100,175.0,,0,b99871ff04d96360c162cd9335b7299f76007a37,fc844125bbf3884e8c2caa8f7cb059a3f79f08e2,,63.0,171.0,0.000492517693819,0.000195242987798,0.715330173187484,False,0.000725227594109,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,161.0,5.0,10.0,15.0,True,False,,,,0.1475939750671386,0.235201895236969,0.0857192352414131,0.0205380972474813,FINISHED,,3793.2077896595,,0.0204047353634508,0.2761954493335208,1.2740931103542266,47.44650459337585,rnn,rnn_rnn_rna,,229.0944591814336
False,100,175.0,,1,b99871ff04d96360c162cd9335b7299f76007a37,e465576fdf9d0c7d53c3dae2e747d34c2a57fc76,,63.0,171.0,0.000492517693819,0.000195242987798,0.715330173187484,False,0.000725227594109,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,161.0,5.0,10.0,15.0,True,False,,,,0.0990340635180473,0.1401756852865219,0.0624557025730609,0.0124399829655885,FINISHED,,3930.5598719120026,,0.0204047353634508,0.2761954493335208,1.2740931103542266,47.44650459337585,rnn,rnn_rnn_rna,,229.0944591814336
False,100,175.0,,2,b99871ff04d96360c162cd9335b7299f76007a37,546649e39660dcca2be8d19e1e3517386ca889dd,,63.0,171.0,0.000492517693819,0.000195242987798,0.715330173187484,False,0.000725227594109,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,161.0,5.0,10.0,15.0,True,False,,,,0.1016112118959426,0.1460982412099838,0.0632862076163292,0.0124833527952432,FINISHED,,4533.903655052185,,0.0204047353634508,0.2761954493335208,1.2740931103542266,47.44650459337585,rnn,rnn_rnn_rna,,229.0944591814336
False,100,175.0,,3,b99871ff04d96360c162cd9335b7299f76007a37,ab9886198dc49ad24b692e99ac939b08f5f732bc,,63.0,171.0,0.000492517693819,0.000195242987798,0.715330173187484,False,0.000725227594109,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,161.0,5.0,10.0,15.0,True,False,,,,0.1260367780923843,0.1843771487474441,0.0850423350930213,0.0156034315004944,FINISHED,,3640.646271467209,,0.0204047353634508,0.2761954493335208,1.2740931103542266,47.44650459337585,rnn,rnn_rnn_rna,,229.0944591814336
False,100,249.0,,0,b7ec4f5acd879a13b8c0ea0cccc2aeb886075ef5,62de05bcb940a18a14bd78911eedb3376dc2a425,,61.0,323.0,0.000853009455467,0.00029444889207,0.385365733485583,True,0.000391246751316,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,250.0,5.0,10.0,15.0,True,False,,,,0.1180948838591575,0.1674135476350784,0.0547083206474781,0.0141041642054915,FINISHED,,4166.421599149704,,1.3709171687058286,0.2303174005108887,-0.4790867669422651,111.32730720988798,rnn,rnn_rnn_rna,,133.8985493372185
False,100,175.0,,4,b99871ff04d96360c162cd9335b7299f76007a37,f8fc711485089d940d7d22e01147c2fc6d91b9a7,,63.0,171.0,0.000492517693819,0.000195242987798,0.715330173187484,False,0.000725227594109,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,161.0,5.0,10.0,15.0,True,False,,,,0.096707209944725,0.1447087675333023,0.0588769651949405,0.0136521561071276,FINISHED,,4087.43771147728,,0.0204047353634508,0.2761954493335208,1.2740931103542266,47.44650459337585,rnn,rnn_rnn_rna,,229.0944591814336
False,100,249.0,,1,b7ec4f5acd879a13b8c0ea0cccc2aeb886075ef5,ddf3663e6f413cf999fa2fc0d65449f0a05ca248,,61.0,323.0,0.000853009455467,0.00029444889207,0.385365733485583,True,0.000391246751316,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,250.0,5.0,10.0,15.0,True,False,,,,0.0895969942212104,0.133775845170021,0.0333455391228199,0.0121922483667731,FINISHED,,4053.364844083786,,1.3709171687058286,0.2303174005108887,-0.4790867669422651,111.32730720988798,rnn,rnn_rnn_rna,,133.8985493372185
False,100,249.0,,2,b7ec4f5acd879a13b8c0ea0cccc2aeb886075ef5,03bfa0574d27c4c615b5e7bce86e4329fd823a57,,61.0,323.0,0.000853009455467,0.00029444889207,0.385365733485583,True,0.000391246751316,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,250.0,5.0,10.0,15.0,True,False,,,,0.1006270200014114,0.1446283459663391,0.0430020913481712,0.012398662045598,FINISHED,,2545.805310487747,,1.3709171687058286,0.2303174005108887,-0.4790867669422651,111.32730720988798,rnn,rnn_rnn_rna,,133.8985493372185
False,100,232.0,,0,005b66af74a57e41a3a920bc2961c69f3398efff,352a3702b84331b8987660992b7ab19cb7ff337f,,50.0,424.0,0.000740768617754,0.000697015740995,0.126075613712872,True,0.000705459243147,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,164.0,5.0,10.0,15.0,True,False,,,,0.1219018548727035,0.1729999184608459,0.0567228831350803,0.0146015034988522,FINISHED,,6415.696353673935,,1.362309548321562,-0.3156470124584629,0.7200144533983395,56.26300893661258,rnn,rnn_rnn_rna,,261.8722310957027
False,100,249.0,,3,b7ec4f5acd879a13b8c0ea0cccc2aeb886075ef5,ebd636550de029ba8acfce1f09582c0a334a5581,,61.0,323.0,0.000853009455467,0.00029444889207,0.385365733485583,True,0.000391246751316,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,250.0,5.0,10.0,15.0,True,False,,,,0.1197885274887085,0.1808430701494217,0.0577884018421173,0.0151995150372385,FINISHED,,2226.900183916092,,1.3709171687058286,0.2303174005108887,-0.4790867669422651,111.32730720988798,rnn,rnn_rnn_rna,,133.8985493372185
